Publisher,total_sales_publisher
Valve Software,3.23
GungHo,3.15
Coleco,3.06
Human Entertainment,3.0
Avanquest,3.0
Scholastic Inc.,2.91
Mojang,2.89
Taito,2.84
JVC,2.8
Ghostlight,2.79
Sammy Corporation,2.73
Midas Interactive Entertainment,2.72
Telltale Games,2.72
Takara Tomy,2.7
Imagineer,2.65
Alchemist,2.63
SNK,2.59
NCSoft,2.59
Rondomedia,2.58
Compile,2.46
Kalypso Media,2.45
Marvelous Entertainment,2.33
Red Storm Entertainment,2.32
UEP Systems,2.25
Enterbrain,2.23
Mastiff,2.23
Kemco,2.22
Video System,2.18
Little Orbit,2.04
Microprose,2.02
ASC Games,2.02
RTL,2.0
Success,1.96
20th Century Fox Video Games,1.94
Jaleco,1.94
Agetec,1.94
Nobilis,1.94
Zushi Games,1.89
Metro 3D,1.84
Rocket Company,1.82
System 3 Arcade Software,1.8
Valve,1.74
Mastertronic,1.73
Crystal Dynamics,1.71
Hudson Entertainment,1.69
Avanquest Software,1.69
Accolade,1.68
Xplosiv,1.64
From Software,1.63
5pb,1.63
Hello Games,1.6
Touchstone,1.58
PopCap Games,1.57
LEGO Media,1.56
Storm City Games,1.56
Laguna,1.55
Westwood Studios,1.55
JoWood Productions,1.49
Arc System Works,1.48
Knowledge Adventure,1.47
Genki,1.46
XS Games,1.46
Tigervision,1.42
Rage Software,1.42
Pinnacle,1.42
GameMill Entertainment,1.38
Slightly Mad Studios,1.38
Compile Heart,1.37
NewKidCo,1.33
FuRyu,1.32
Milestone S.r.l.,1.28
Aqua Plus,1.25
Brash Entertainment,1.23
Russel,1.21
Falcom Corporation,1.21
Black Label Games,1.2
Playlogic Game Factory,1.2
Gathering of Developers,1.19
BMG Interactive Entertainment,1.18
Aruze Corp,1.18
Sony Computer Entertainment America,1.18
Jester Interactive,1.15
Trion Worlds,1.15
Gust,1.1
Gremlin Interactive Ltd,1.1
O-Games,1.08
Acquire,1.07
Mentor Interactive,1.07
Epoch,1.05
Telegames,1.03
Big Ben Interactive,1.0
SNK Playmore,0.96
Broccoli,0.96
IE Institute,0.96
UFO Interactive,0.96
Sunsoft,0.95
Jorudan,0.95
DreamCatcher Interactive,0.95
Nippon Columbia,0.95
Screenlife,0.92
Funbox Media,0.91
CTO SpA,0.9
Xseed Games,0.9
Victor Interactive,0.89
"Destination Software, Inc",0.88
Quelle,0.87
TalonSoft,0.87
"mixi, Inc",0.86
Mud Duck Productions,0.85
Conspiracy Entertainment,0.84
Ackkstudios,0.84
Bigben Interactive,0.84
Mystique,0.82
NovaLogic,0.82
Square EA,0.8
Harmonix Music Systems,0.8
NEC Interchannel,0.78
Men-A-Vision,0.77
Nihon Falcom Corporation,0.77
Paradox Interactive,0.76
Pioneer LDC,0.74
ArtDink,0.73
Gamebridge,0.73
Starfish,0.72
Data Age,0.71
Quest,0.71
Home Entertainment Suppliers,0.71
Illusion Softworks,0.7
Media Rings,0.65
Wanadoo,0.65
Sting,0.65
Elf,0.64
Astragon,0.64
Universal Gamex,0.63
Seta Corporation,0.63
Foreign Media Games,0.63
Wizard Video Games,0.62
TDK Core,0.62
Aspyr,0.62
Prototype,0.61
Idea Factory International,0.61
ESP,0.59
Nordcurrent,0.59
Asylum Entertainment,0.59
Mumbo Jumbo,0.58
Kadokawa Games,0.58
CPG Products,0.54
AQ Interactive,0.53
BPS,0.52
The Adventure Company,0.51
Answer Software,0.5
Hect,0.5
Rebellion,0.49
Popcorn Arcade,0.49
Avalon Interactive,0.48
Swing! Entertainment,0.48
Pack In Soft,0.48
Activision Blizzard,0.48
Ultravision,0.47
Irem Software Engineering,0.46
Valcon Games,0.45
Angel Studios,0.44
Shogakukan,0.44
Aksys Games,0.44
PlayV,0.44
NEC,0.43
Tetris Online,0.43
Electronic Arts Victor,0.42
TYO,0.42
Jack of All Games,0.42
Magical Company,0.41
bitComposer Games,0.41
NCS,0.4
MTO,0.4
Microids,0.4
P2 Games,0.4
ValuSoft,0.39
989 Sports,0.38
Blast! Entertainment Ltd,0.38
Graffiti,0.38
New,0.36
Hip Interactive,0.36
Performance Designed Products,0.36
Time Warner Interactive,0.35
Magix,0.35
DSI Games,0.35
ITT Family Games,0.34
Reef Entertainment,0.34
Starpath Corp.,0.33
U.S. Gold,0.33
Benesse,0.33
Cave,0.33
Indie Games,0.32
Evolved Games,0.32
Yacht Club Games,0.32
CBS Electronics,0.31
Agatsuma Entertainment,0.31
Hackberry,0.31
CokeM Interactive,0.31
Neko Entertainment,0.31
Hamster Corporation,0.3
Mad Catz,0.3
Game Life,0.3
Rebellion Developments,0.3
Core Design Ltd.,0.29
Media Factory,0.29
Data Design Interactive,0.29
Wargaming.net,0.29
Nichibutsu,0.28
Playmates,0.28
Daedalic,0.28
Excalibur Publishing,0.28
Tru Blu Entertainment,0.28
Culture Brain,0.27
Telstar,0.27
Vic Tokai,0.27
Syscom,0.27
Liquid Games,0.27
CyberFront,0.27
ASCII Media Works,0.27
Nippon Telenet,0.26
Pacific Century Cyber Works,0.26
Vir2L Studios,0.26
Axela,0.25
Paon,0.25
Asgard,0.25
Xing Entertainment,0.24
Yeti,0.24
American Softworks,0.23
Asmik Ace Entertainment,0.23
Essential Games,0.23
Daito,0.23
Detn8 Games,0.23
Bomb,0.22
Vatical Entertainment,0.22
CCP,0.22
O3 Entertainment,0.22
Quinrose,0.22
System 3,0.22
Sears,0.21
On Demand,0.21
Tommo,0.21
Mercury Games,0.21
Slitherine Software,0.21
Micro Cabin,0.2
CDV Software Entertainment,0.2
Funsta,0.2
Gamecock,0.2
Merscom LLC,0.2
Funcom,0.2
Alternative Software,0.2
SSI,0.19
Phenomedia,0.19
Media Works,0.18
DHM Interactive,0.18
Happinet,0.18
Asmik Corp,0.17
Panther Software,0.17
Adeline Software,0.17
Sunrise Interactive,0.17
Xicat Interactive,0.17
Tivola,0.17
Aques,0.16
Gainax Network Systems,0.16
White Park Bay Software,0.16
Data East,0.15
Global A Entertainment,0.15
Comfort,0.15
EA Games,0.15
Game Arts,0.14
Imadio,0.14
General Entertainment,0.14
Sony Music Entertainment,0.14
HMH Interactive,0.14
Tripwire Interactive,0.14
Daedalic Entertainment,0.14
Kaga Create,0.14
DreamWorks Interactive,0.13
Havas Interactive,0.13
responDESIGN,0.13
Myelin Media,0.13
Moss,0.13
SCS Software,0.13
T&E Soft,0.12
SPS,0.12
FunSoft,0.12
LSP Games,0.12
NDA Productions,0.12
Flight-Plan,0.12
TopWare Interactive,0.12
Bohemia Interactive,0.12
Insomniac Games,0.12
TOHO,0.11
Pack-In-Video,0.11
PopTop Software,0.11
Simon & Schuster Interactive,0.11
Ascaron Entertainment GmbH,0.11
10TACLE Studios,0.11
Gameloft,0.11
Tradewest,0.11
dramatic create,0.11
Interplay Productions,0.1
GameTek,0.1
Interchannel,0.1
Creative Core,0.1
TGL,0.1
1C Company,0.1
PM Studios,0.1
Enjoy Gaming ltd.,0.1
Image Epoch,0.1
Type-Moon,0.1
inXile Entertainment,0.1
Hearty Robin,0.09
Origin Systems,0.09
Culture Publishers,0.09
Athena,0.09
Arika,0.09
Nippon Amuse,0.09
Groove Games,0.09
Edia,0.09
Phantom EFX,0.09
Griffin International,0.09
Glams,0.08
KID,0.08
Mitsui,0.08
MC2 Entertainment,0.08
Yuke's,0.08
Flashpoint Games,0.08
Milestone,0.08
Crimson Cow,0.08
7G//AMES,0.08
Abylight,0.08
Iceberg Interactive,0.08
Cloud Imperium Games Corporation,0.08
Seventh Chord,0.08
Misawa,0.07
Coconuts Japan,0.07
Elite,0.07
Warp,0.07
Locus,0.07
Evolution Games,0.07
Altron,0.07
Encore,0.07
Princess Soft,0.07
Aria,0.07
Licensed 4U,0.07
Revolution Software,0.07
HAL Laboratory,0.06
Imax,0.06
Sonnet,0.06
Yumedia,0.06
Fortyfive,0.06
DigiCube,0.06
Zenrin,0.06
Grand Prix Games,0.06
Ecole,0.06
Virtual Play Games,0.06
iWin,0.06
Office Create,0.06
Experience Inc.,0.06
Vap,0.05
Pow,0.05
MediaQuest,0.05
TechnoSoft,0.05
Pony Canyon,0.05
The Learning Company,0.05
Max Five,0.05
Phantagram,0.05
Sweets,0.05
GN Software,0.05
Ertain,0.05
Lexicon Entertainment,0.05
Monte Christo Multimedia,0.05
Mamba Games,0.05
System Soft,0.05
Navarre Corp,0.05
Big Fish Games,0.05
Minato Station,0.05
Alawar Entertainment,0.05
Team17 Software,0.05
Easy Interactive,0.05
Focus Multimedia,0.05
Marvel Entertainment,0.05
WayForward Technologies,0.05
Milestone S.r.l,0.05
Dusenberry Martin Racing,0.05
Riverhillsoft,0.04
Societa,0.04
Playmore,0.04
Kool Kizz,0.04
Summitsoft,0.04
Yamasa Entertainment,0.04
Gakken,0.04
2D Boy,0.04
Ivolgamus,0.04
Legacy Interactive,0.04
G.Rev,0.04
Alvion,0.04
49Games,0.04
Devolver Digital,0.04
imageepoch Inc.,0.04
MLB.com,0.04
id Software,0.03
Fuji,0.03
Kokopeli Digital Studios,0.03
ASK,0.03
KSS,0.03
Berkeley,0.03
Blue Byte,0.03
Strategy First,0.03
Datam Polystar,0.03
Sunflowers,0.03
Kando Games,0.03
Kids Station,0.03
Dorart,0.03
Tryfirst,0.03
Number None,0.03
Kamui,0.03
Nexon,0.03
NetRevo,0.03
Aerosoft,0.03
Just Flight,0.03
Her Interactive,0.03
Views,0.03
Fields,0.03
BushiRoad,0.03
Maximum Family Games,0.03
Headup Games,0.03
Paon Corporation,0.03
HuneX,0.03
Cygames,0.03
Intergrow,0.03
FuRyu Corporation,0.03
Extreme Entertainment Group,0.03
Mycom,0.02
Imageworks,0.02
Technos Japan Corporation,0.02
Gaga,0.02
Saurus,0.02
Quintet,0.02
King Records,0.02
Graphsim Entertainment,0.02
Warashi,0.02
Phoenix Games,0.02
Lighthouse Interactive,0.02
GOA,0.02
fonfun,0.02
Mirai Shounen,0.02
Codemasters Online,0.02
Revolution (Japan),0.02
RED Entertainment,0.02
Karin Entertainment,0.02
Visco,0.02
Plenty,0.02
Masque Publishing,0.02
Giza10,0.02
Giga,0.02
Nitroplus,0.02
Marvelous Games,0.02
Sold Out,0.02
Introversion Software,0.02
New World Computing,0.01
EON Digital Entertainment,0.01
Media Entertainment,0.01
Ongakukan,0.01
Michaelsoft,0.01
Interchannel-Holon,0.01
Commseed,0.01
Naxat Soft,0.01
Genterprise,0.01
Piacci,0.01
Takuyo,0.01
Ascaron Entertainment,0.01
"Interworks Unlimited, Inc.",0.01
Otomate,0.01
Boost On,0.01
Rain Games,0.01
Epic Games,0.01
Inti Creates,0.01
Stainless Games,0.01
UIG Entertainment,0.01
Paradox Development,0.01
